mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__n_estimators,param_model__random_state,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model__criterion,model__max_depth,model__max_features,model__n_estimators,model__random_state
268.3857257843,5.4573013104,56.500769949,1.030499858,entropy,10,auto,700,91,0.6603933777,0.6603607232,0.6605131108,0.6605022259,0.660411451,0.6604361778,6.06922397128211E-05,4,entropy,10,auto,700,91
290.1965463161,4.64270871,59.3770626068,1.786627556,entropy,10,auto,900,91,0.660436917,0.6604586866,0.6604042625,0.6604586866,0.660400566,0.6604318238,2.53212762619169E-05,5,entropy,10,auto,900,91
327.1725733757,3.1294753344,63.6930264473,1.8017103355,entropy,10,auto,1200,91,0.6603933777,0.6604151473,0.6604042625,0.6605131108,0.6604332209,0.6604318238,4.27209055651676E-05,5,entropy,10,auto,1200,91
932.7638274193,32.3130194689,60.2784408092,2.0464468531,entropy,32,auto,700,91,0.6930260909,0.6922859227,0.692895473,0.6927430854,0.6919342549,0.6925769668,0.0004070716,1,entropy,32,auto,700,91
1090.423644352,45.0347091638,61.3366152763,0.7922275432,entropy,32,auto,900,91,0.6932655571,0.6920573413,0.6928192792,0.6926995461,0.6919451399,0.6925573741,0.0004929894,2,entropy,32,auto,900,91
1408.5267784119,29.3318190918,67.4947545528,1.1599329611,entropy,32,auto,1200,91,0.6929716668,0.692198844,0.6927975096,0.6927975096,0.6915859366,0.6924702952,0.0005140588,3,entropy,32,auto,1200,91
207.6508686543,1.2844840779,49.3374658108,0.2589102468,entropy,10,auto,200,91,0.6605893046,0.6605457653,0.6606219591,0.6606110742,0.660596495,0.6605929196,2.61620781521377E-05,7,entropy,10,auto,200,91
236.5285120964,4.8758173432,52.2699447632,0.6687710584,entropy,10,auto,400,91,0.6604260322,0.6603933777,0.6604913411,0.6606001894,0.6604549907,0.6604731863,7.12508869198398E-05,8,entropy,10,auto,400,91
257.2620102882,3.3212065454,54.9850255489,1.041353539,entropy,10,auto,600,91,0.6603824928,0.6603280687,0.660436917,0.6605239956,0.6604549907,0.6604252929,6.63983919303532E-05,9,entropy,10,auto,600,91
401.1144183636,6.7729870434,50.5407588482,0.5398083163,entropy,32,auto,200,91,0.6944520034,0.6935050233,0.6930913999,0.693842453,0.6925111571,0.6934804094,0.0006582476,4,entropy,32,auto,200,91
611.6416251183,5.5577942657,54.4981214046,0.4102334044,entropy,32,auto,400,91,0.6937880289,0.6928519337,0.692960782,0.6932437875,0.6925655818,0.6930820239,0.0004144787,5,entropy,32,auto,400,91
822.1294020653,13.619173309,58.2060688019,0.5795085521,entropy,32,auto,600,91,0.692960782,0.6922532682,0.6922423833,0.6930696302,0.6919342549,0.6924920649,0.0004435748,6,entropy,32,auto,600,91
790.7821986675,5.2476582329,51.7987434387,0.4570149831,entropy,50,auto,200,91,0.7242655463,0.7215443393,0.722197429,0.7214899152,0.72323936,0.7225473164,0.0010656197,1,entropy,50,auto,200,91
1396.6346868038,29.1678962612,55.8381347179,0.5073312656,entropy,50,auto,400,91,0.7242220069,0.7215443393,0.7224804345,0.7211307159,0.722836617,0.7224428219,0.0010817479,2,entropy,50,auto,400,91
2121.898959589,150.3888949604,63.6469452858,2.3933434109,entropy,50,auto,600,91,0.7238736925,0.7214463759,0.7218926538,0.7211307159,0.722422989,0.7221532848,0.0009639344,3,entropy,50,auto,600,91
