Topics,Alpha,Beta,Coherence
15,0.01,0.01,0.3951741972632323
15,0.01,0.05,0.38995899152042296
15,0.01,0.1,0.38311718274086765
15,0.01,symmetric,0.38499332424414684
15,0.05,0.01,0.39127730550211154
15,0.05,0.05,0.39138913678710907
15,0.05,0.1,0.3839735097906376
15,0.05,symmetric,0.3855007819630613
15,0.1,0.01,0.39538738986731753
15,0.1,0.05,0.38733941781352266
15,0.1,0.1,0.39069478382519296
15,0.1,symmetric,0.3866013253288206
20,0.01,0.01,0.3794799501549384
20,0.01,0.05,0.3421271910391063
20,0.01,0.1,0.3704446096479901
20,0.01,symmetric,0.3421271910391063
20,0.05,0.01,0.380579702152514
20,0.05,0.05,0.35047079957898697
20,0.05,0.1,0.3733665226204469
20,0.05,symmetric,0.35047079957898697
20,0.1,0.01,0.3841413131012569
20,0.1,0.05,0.34613734336867397
15,asymmetric,0.01,0.3641929460240451
15,asymmetric,0.05,0.36207821681895247
15,asymmetric,0.1,0.3895107474923359
15,asymmetric,symmetric,0.3620802051314488
20,asymmetric,0.01,0.3824609220468021
20,asymmetric,0.05,0.357807800094542
20,asymmetric,0.1,0.39505429895638394
20,asymmetric,symmetric,0.357807800094542
15,0.01,0.01,0.3911134720413429
15,0.01,0.05,0.3907785318713396
15,0.01,0.1,0.39677752389215554
15,0.01,symmetric,0.39697559533789406
15,0.1,0.01,0.40040538007202453
15,0.1,0.05,0.40096837096270455
15,0.1,0.1,0.40058250543717266
15,0.1,symmetric,0.3947438235631255
15,asymmetric,0.01,0.3830205147741233
15,asymmetric,0.05,0.37957608658211933
15,asymmetric,0.1,0.421677202476063
15,asymmetric,symmetric,0.3860522628434816
20,0.01,0.01,0.38757548578632856
20,0.01,0.05,0.3515442802132255
20,0.01,0.1,0.4001037904580798
20,0.01,symmetric,0.3515442802132255
20,0.1,0.01,0.38768046686475305
20,0.1,0.05,0.35780491171383194
20,0.1,0.1,0.4079634219298959
20,0.1,symmetric,0.35780491171383194
20,asymmetric,0.01,0.3955562827402394
20,asymmetric,0.05,0.3647749494599063
20,asymmetric,0.1,0.41906298251188306
20,asymmetric,symmetric,0.3647749494599063
25,0.01,0.01,0.37085546970667865
15,0.8,0.8,0.5112994329199806
15,0.8,symmetric,0.4101655539040488
15,asymmetric,0.8,0.4204426295041513
15,asymmetric,symmetric,0.3860522628434816
17,0.8,0.8,0.5016318745609056
17,0.8,symmetric,0.41661126459457803
10,0.8,0.6,0.4396687186972977
10,0.8,0.8,0.4409393303589663
14,0.8,0.6,0.47545931634396676
14,0.8,0.8,0.48803146403008274
18,0.8,0.6,0.5158885063079721
18,0.8,0.8,0.5164436419389874
20,0.8,0.6,0.45689588861482616
20,0.8,0.8,0.4828524108301474
5,0.1,0.8,0.39373965861337024
5,0.1,0.1,0.37409751398365243
10,0.1,0.8,0.5259025797857271
10,0.1,0.1,0.4051967715661135
10,0.8,0.8,0.4409393303589663
10,0.8,0.6,0.4396687186972977
